id,level,phase,epic_id,title,work_type,complexity,deploy_surface,depends_on,gate,critical_path,definition_of_done
V0-E1,epic,V0,,Answer-blind judging,ENG,M,edge-fn,,,,"Judge commits to its own answer before seeing any candidate; blind and legacy verdicts both recorded"
V0-T01,task,V0,V0-E1,Split runJudge into pre-commit and ruling calls behind JUDGE_ANSWER_BLIND (default off),ENG,S,edge-fn,,,,"Flag off => verification_meta byte-identical to today. Flag on => both legacy and blind keys present"
V0-T02,task,V0,V0-E1,Guard test: pre-commit payload contains no candidate,ENG,XS,ci,V0-T01,,,"Test fails if zeroAnswer, tutorFinalAnswer, or either solver answer appears in the pre-commit message body"
V0-T03,task,V0,V0-E1,Record judge_precommit_answer / judge_blind_verdict / judge_blind_confidence (append-only),ENG,XS,edge-fn,V0-T01,,,"Keys present; no existing key renamed or removed; ai-monitor.html unaffected"
V0-T04,task,V0,V0-E1,Enable JUDGE_ANSWER_BLIND at 100% of shadow traffic,ENG,XS,edge-fn,V0-T02;V0-T03,,,"Both verdicts written on every shadow run for 14 consecutive days"
V0-T05,task,V0,V0-E1,Publish the blind-vs-legacy 2x2 agreement matrix,MEASURE,S,none,V0-T04,,,"Matrix published with n, plus >=30 disagreement cases sampled and classified by hand"
V0-E2,epic,V0,,"Decision log, identifier-free",ENG,M,migration,,,,"One identifier-free decision row per shadow run; question_records untouched"
V0-T06,task,V0,V0-E2,"verification_decisions table - no user_id, no image, no question text, no prose",ENG,M,migration,,,,"Column-level review confirms zero identifier columns; RLS denies every client role; PREPARED -> approved -> APPLIED"
V0-T07,task,V0,V0-E2,CI gate: decision-log DDL may not contain identifier column names,ENG,S,ci,V0-T06,,,"Test fails if the DDL matches user_id|email|image|question_text|ai_response"
V0-T08,task,V0,V0-E2,Writer - one decision row per shadow run,ENG,M,edge-fn,V0-T06,,,"Row count equals shadow-run count over 7 days; question_records write path unchanged"
V0-T09,task,V0,V0-E2,Fault isolation - a decision-write failure must not affect anything else,ENG,S,edge-fn,V0-T08,,,"Fault injection: insert throws => question_records still updated, student response unaffected, ai_model_calls still flushed"
V0-E3,epic,V0,,Policy identity and propensity,ENG,S,edge-fn,,,,"Every decision attributable to a versioned plan, with per-action propensity"
V0-T10,task,V0,V0-E3,policy_version / plan_id / pipeline_version on every decision row,ENG,S,edge-fn+migration,V0-T06,,,"No decision row may be written with a null policy identity - enforced by NOT NULL, not convention"
V0-T11,task,V0,V0-E3,actions_taken[] with per-action action_propensity joined to ai_model_calls by call_uid,ENG,S,edge-fn,V0-T10,,,"Every action carries a propensity (1.0 under V0's deterministic plan) and resolves to its real spend row"
V0-T12,task,V0,V0-E3,Name the current straight-line pipeline as a versioned plan (l3-linear-v1),ENG,XS,edge-fn,V0-T10,,,"Plan registry exists with one entry; adding a plan requires no code change to the writer"
V0-E4,epic,V0,,Forced exploration,ENG,S,edge-fn,,,,"P7 mechanism installed while its cost is zero"
V0-T13,task,V0,V0-E4,"forced_exploration flag + sampler, fraction as config, default 1.0",ENG,S,edge-fn+migration,V0-T06,,,"Flag non-null on every decision row; fraction readable from config without a deploy"
